country,city,activity,season,trend_score,avg_daily_precipitation,avg_daily_temperature,avg_daily_daylight,avg_daily_wind_speed,season_duration
United States,Texas,hiking,summer,0.43960784313725493,1.1771739,29.582932,50079.51,20.468473,92
United States,Texas,museum,summer,0.23,1.1771739,29.582932,50079.51,20.468473,92
United States,Texas,beach,summer,0.24450980392156862,1.1771739,29.582932,50079.51,20.468473,92
United States,Florida,hiking,spring,0.5560784313725491,5.8967385,24.676872,45673.684,13.131496,92
United States,Florida,museum,spring,0.20941176470588235,5.8967385,24.676872,45673.684,13.131496,92
United States,Florida,beach,spring,0.21764705882352942,5.8967385,24.676872,45673.684,13.131496,92
United States,Florida,hiking,summer,0.43960784313725493,5.2999997,26.842474,47333.69,15.434198,92
United States,Florida,museum,summer,0.23,5.2999997,26.842474,47333.69,15.434198,92
United States,Florida,beach,summer,0.24450980392156862,5.2999997,26.842474,47333.69,15.434198,92
Canada,Ontario,hiking,spring,0.3407692307692308,2.0119567,1.8647491,50100.53,18.141962,92
Canada,Ontario,museum,spring,0.6423076923076922,2.0119567,1.8647491,50100.53,18.141962,92
Canada,Ontario,beach,spring,0.6646153846153847,2.0119567,1.8647491,50100.53,18.141962,92
Canada,Ontario,hiking,summer,0.2576923076923077,2.2282608,17.46434,56332.277,17.60618,92
Canada,Ontario,museum,summer,0.56,2.2282608,17.46434,56332.277,17.60618,92
Canada,Quebec,hiking,spring,0.3407692307692308,2.9402177,-1.0649304,50709.176,19.199492,92
Canada,Quebec,museum,spring,0.6423076923076922,2.9402177,-1.0649304,50709.176,19.199492,92
Canada,Quebec,beach,spring,0.6646153846153847,2.9402177,-1.0649304,50709.176,19.199492,92
Canada,Quebec,hiking,summer,0.2576923076923077,3.4717393,16.327599,57595.38,20.083061,92
Canada,Quebec,museum,summer,0.56,3.4717393,16.327599,57595.38,20.083061,92
Canada,Quebec,beach,summer,0.4253846153846154,3.4717393,16.327599,57595.38,20.083061,92
Canada,British Columbia,hiking,spring,0.3407692307692308,0.99239135,1.6716613,51428.254,14.863739,92
Canada,British Columbia,museum,spring,0.6423076923076922,0.99239135,1.6716613,51428.254,14.863739,92
Canada,British Columbia,beach,spring,0.6646153846153847,0.99239135,1.6716613,51428.254,14.863739,92
